,LHX
% Above Low,0.2742
% Held by Institutions,0.8289
52-Wk Range,['142.01 - 230.99']
Annual Dividend $,3.4
Annual Dividend %,0.018600000000000002
Ask,185.96
Ask Size,500.0
B/A Ratio,0.2
B/A Size,100x500
Beta,0.8
Bid,180.26
Bid Size,100.0
Closing Price,180.95
Day Change $,-1.54
Day Change %,-0.0084
Day High,184.62
Day Low,180.24
Dividend Pay Date,2020-06-16 00:00:00
"EPS (TTM, GAAP)",7.88
Ex-dividend,2020-06-01 00:00:00
Ex-dividend Date,06/01/20
Historical Volatility,0.389
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,39.2B
"P/E Ratio (TTM, GAAP)",23.15
Prev Close,182.49
Shares Outstanding,216.9M
Short Interest,0.0152
Today's Open,184.35
Volume,1845858.0
Volume 10-day Avg,1140481.0
Volume Past Day,(Heavy Day)
