,LLY
Price/Earnings (TTM),25.36042
Price/Sales (TTM),6.33723
Price/Book (MRQ),47.52077
Price/Cash Flow (TTM),21.8926
5yr Low,64.18
5yr High,164.9
5yr Avg Return,0.14241666666666666
EPS Growth 5yr,0.1737201
Revenue Growth 5yr,0.026163500000000003
Dividend Growth 5yr,0.056507800000000004
Short Int Current Month,9565405.0
Short Int Prev Month,9804757.0
Short Int Pct of Float,0.010012700000000001
Days to Cover,2.76314
Float,955.5787
Shares Outstanding,956.4504
Institutions Holding Shares,2124.0
% Held by Institutions,0.7754000000000001
FCF Growth 5yr,0.36824076489813684
