,LLY
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.16521739130434776
Growth 1yr High Est,0.18644067796610164
Growth 1yr Consensus Est,0.1758290346352247
Growth 2yr Low Est,0.12663854639844252
Growth 2yr High Est,0.21822033898305082
Growth 2yr Consensus Est,0.17242944269074667
Growth 5yr Low Est,0.1549345327587161
Growth 5yr High Est,0.2011415242869647
Growth 5yr Consensus Est,0.1780380285228404
Growth 5yr Actual/Est,0.1681285260898961
Growth 3yr Historic,0.09625431506272625
