,NOW
% Below High,0.026699999999999998
% Held by Institutions,0.9684999999999999
52-Wk Range,['213.99 - 387.60']
Annual Dividend $,
Annual Dividend %,
Ask,379.49
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,376.0
Bid Size,100.0
Closing Price,377.26
Day Change $,-4.57
Day Change %,-0.012
Day High,387.6
Day Low,376.13
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.4
Ex-dividend Date,No dividend
Historical Volatility,0.48600000000000004
Last (size),5.0
Last (time),6:30p ET 05/08/20
Market Cap,71.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",112.28
Prev Close,381.83
Shares Outstanding,190.7M
Short Interest,0.0321
Today's Open,384.0
Volume,2106079.0
Volume 10-day Avg,2634408.0
Volume Past Day,(Light)
