,NOW
Price/Earnings (TTM),112.2825
Price/Sales (TTM),19.58562
Price/Book (MRQ),32.13236
Price/Cash Flow (TTM),76.69916
5yr Low,46.0
5yr High,386.57
5yr Avg Return,0.3475
EPS Growth 5yr,
Revenue Growth 5yr,0.38355890000000004
Dividend Growth 5yr,
Short Int Current Month,6005178.0
Short Int Prev Month,7394744.0
Short Int Pct of Float,0.0320589
Days to Cover,2.36864
Float,188.3751
Shares Outstanding,190.7038
Institutions Holding Shares,1219.0
% Held by Institutions,0.9685320000000001
FCF Growth 5yr,2.558964982371555
