,DHI
Price/Earnings (TTM),9.30816
Price/Sales (TTM),0.92844
Price/Book (MRQ),1.63936
Price/Cash Flow (TTM),8.69967
5yr Low,22.97
5yr High,62.54
5yr Avg Return,0.18349999999999997
EPS Growth 5yr,0.2412921
Revenue Growth 5yr,0.169983
Dividend Growth 5yr,0.1585177
Short Int Current Month,7507736.0
Short Int Prev Month,6925241.0
Short Int Pct of Float,0.0223829
Days to Cover,1.28159
Float,332.6037
Shares Outstanding,363.5378
Institutions Holding Shares,967.0
% Held by Institutions,0.845205
FCF Growth 5yr,0.08817324339760817
