,DHI
% Below High,0.2071
% Held by Institutions,0.8452
52-Wk Range,['25.51 - 62.54']
Annual Dividend $,0.7
Annual Dividend %,0.0148
Ask,49.99
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,1.6
Bid,48.55
Bid Size,200.0
Change Since Close,0.07| |(0.14%)
Closing Price,49.59
Day Change $,2.61
Day Change %,0.0554
Day High,49.82
Day Low,47.28
Dividend Pay Date,2020-05-21 00:00:00
"EPS (TTM, GAAP)",5.07
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.518
Last (size),50.0
Last (time),6:30p ET 05/08/20
Last Trade,49.66
Market Cap,18.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.31
Prev Close,46.99
Shares Outstanding,363.5M
Short Interest,0.022400000000000003
Today's Open,48.04
Volume,3074770.0
Volume 10-day Avg,4810572.0
Volume Past Day,(Light)
