,DHI
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.0980392156862745
Growth 1yr High Est,0.2329411764705882
Growth 1yr Consensus Est,0.06745098039215686
Growth 2yr Low Est,-0.06532395566922422
Growth 2yr High Est,0.14414234396048498
Growth 2yr Consensus Est,0.03940919414563038
Growth 5yr Low Est,0.0887442283996322
Growth 5yr High Est,0.21928195517249446
Growth 5yr Consensus Est,0.15401309178606332
Growth 5yr Actual/Est,0.13843768507767945
Growth 3yr Historic,0.12535887887660252
