,FFIV
Price/Earnings (TTM),25.41943
Price/Sales (TTM),3.76779
Price/Book (MRQ),4.33009
Price/Cash Flow (TTM),20.49555
5yr Low,79.78
5yr High,199.71
5yr Avg Return,0.05963333333333334
EPS Growth 5yr,0.1158648
Revenue Growth 5yr,0.0530101
Dividend Growth 5yr,
Short Int Current Month,1972543.0
Short Int Prev Month,2125351.0
Short Int Pct of Float,0.0325523
Days to Cover,2.61751
Float,60.59632
Shares Outstanding,60.89654
Institutions Holding Shares,740.0
% Held by Institutions,0.926798
FCF Growth 5yr,0.009951155271216993
