,FFIV
% Below High,0.0323
% Held by Institutions,0.9268000000000001
52-Wk Range,['79.78 - 153.99']
Annual Dividend $,
Annual Dividend %,
Ask,152.0
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.1
Bid,149.02
Bid Size,500.0
Closing Price,149.02
Day Change $,6.31
Day Change %,0.044199999999999996
Day High,149.1
Day Low,143.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.61
Ex-dividend Date,No dividend
Historical Volatility,0.37700000000000006
Last (size),5.0
Last (time),3:59p ET 05/08/20
Market Cap,9.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.42
Prev Close,142.71
Shares Outstanding,60.9M
Short Interest,0.0326
Today's Open,143.84
Volume,847103.0
Volume 10-day Avg,1324006.0
Volume Past Day,(Light)
