,HSIC
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.5218658892128281
Growth 1yr High Est,0.0778097982708934
Growth 1yr Consensus Est,-0.22202804547096733
Growth 2yr Low Est,0.050042665149683585
Growth 2yr High Est,0.09371773336004563
Growth 2yr Consensus Est,0.07188019925486461
Growth 5yr Low Est,0.02048052320026761
Growth 5yr High Est,0.03877126712018214
Growth 5yr Consensus Est,0.029625895160224874
Growth 5yr Actual/Est,0.007951797888238521
Growth 3yr Historic,-0.0007247107882701331
