,HSIC
Price/Earnings (TTM),11.119
Price/Sales (TTM),0.76515
Price/Book (MRQ),2.58045
Price/Cash Flow (TTM),10.61824
5yr Low,41.85
5yr High,93.5
5yr Avg Return,-0.03165
EPS Growth 5yr,0.1154998
Revenue Growth 5yr,-0.0075487
Dividend Growth 5yr,
Short Int Current Month,14586117.0
Short Int Prev Month,13981251.0
Short Int Pct of Float,0.1033973
Days to Cover,7.71686
Float,141.1892
Shares Outstanding,142.756
Institutions Holding Shares,772.0
% Held by Institutions,1.081089
FCF Growth 5yr,0.028581768122409645
