,HSIC
% Above Low,0.29100000000000004
% Held by Institutions,1.0811
52-Wk Range,['41.85 - 73.99']
Annual Dividend $,
Annual Dividend %,
Ask,54.1
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,53.5
Bid Size,1000.0
Closing Price,54.03
Day Change $,0.14
Day Change %,0.0026
Day High,55.0
Day Low,53.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.85
Ex-dividend Date,No dividend
Historical Volatility,0.358
Last (size),20.0
Last (time),3:59p ET 05/08/20
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.12
Prev Close,53.89
Shares Outstanding,142.8M
Short Interest,0.10339999999999999
Today's Open,54.23
Volume,1113787.0
Volume 10-day Avg,1806292.0
Volume Past Day,(Light)
