,MET
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.028846153846153966
Growth 1yr High Est,0.13382899628252787
Growth 1yr Consensus Est,0.05249142121818695
Growth 2yr Low Est,0.0093392993145468
Growth 2yr High Est,0.1046194161740508
Growth 2yr Consensus Est,0.0569793577442988
Growth 5yr Low Est,0.0846188882359536
Growth 5yr High Est,0.10523763601495328
Growth 5yr Consensus Est,0.09492826212545344
Growth 5yr Actual/Est,0.12205727768620381
Growth 3yr Historic,0.12627049431847687
