,STZ
Next Earnings Announcement,2020-06-26 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.3864959254947614
Growth 1yr High Est,0.035147392290249435
Growth 1yr Consensus Est,-0.175674266602256
Growth 2yr Low Est,-0.13727073314586263
Growth 2yr High Est,0.10519691629846528
Growth 2yr Consensus Est,-0.016036908423698676
Growth 5yr Low Est,-0.056554122574211635
Growth 5yr High Est,0.058346503745804246
Growth 5yr Consensus Est,0.0008961905857963054
Growth 5yr Actual/Est,0.025095079107776974
Growth 3yr Historic,0.011744701043973377
