,STZ
Price/Earnings (TTM),
Price/Sales (TTM),3.79617
Price/Book (MRQ),2.61616
Price/Cash Flow (TTM),89.57395
5yr Low,104.28
5yr High,236.62
5yr Avg Return,0.09206666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0671734
Dividend Growth 5yr,
Short Int Current Month,5778399.0
Short Int Prev Month,5154172.0
Short Int Pct of Float,0.0382871
Days to Cover,2.28106
Float,151.7504
Shares Outstanding,191.1461
Institutions Holding Shares,1298.0
% Held by Institutions,0.824708
FCF Growth 5yr,0.3785227654290755
