,STZ
% Below High,0.2167
% Held by Institutions,0.8247
52-Wk Range,['104.28 - 212.00']
Annual Dividend $,3.0
Annual Dividend %,0.0182
Ask,167.07
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.9
Bid,166.03
Bid Size,200.0
Closing Price,166.06
Day Change $,1.29
Day Change %,0.0078000000000000005
Day High,166.85
Day Low,159.55
Dividend Pay Date,2020-05-19 00:00:00
"EPS (TTM, GAAP)",-0.1
Ex-dividend,2020-05-04 00:00:00
Ex-dividend Date,05/04/20
Historical Volatility,0.435
Last (size),15.0
Last (time),6:30p ET 05/08/20
Market Cap,32.0B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,164.77
Shares Outstanding,192.8M
Short Interest,0.0383
Today's Open,160.8
Volume,1129124.0
Volume 10-day Avg,1145958.0
Volume Past Day,(Average)
