,FLT
% Above Low,0.40270000000000006
% Held by Institutions,0.9697
52-Wk Range,['168.51 - 329.85']
Annual Dividend $,
Annual Dividend %,
Ask,236.81
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,236.1
Bid Size,100.0
Day Change $,-0.523
Day Change %,-0.0022
Day High,240.52
Day Low,236.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",9.67
Ex-dividend Date,No dividend
Historical Volatility,0.46299999999999997
Last (size),126.0
Last (time),9:49a ET 05/12/20
Market Cap,19.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.5
Prev Close,236.9
Price,236.38
Shares Outstanding,83.8M
Short Interest,0.0345
Today's Open,237.83
Volume Past Day,(Light)
