,FLT
Next Earnings Announcement,2020-08-06 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.13225255972696248
Growth 1yr High Est,0.15932203389830502
Growth 1yr Consensus Est,0.013534737085671267
Growth 2yr Low Est,0.0022119698906977736
Growth 2yr High Est,0.1392370403409654
Growth 2yr Consensus Est,0.07072450511583159
Growth 5yr Low Est,0.09118441174223882
Growth 5yr High Est,0.15942122907516731
Growth 5yr Consensus Est,0.12530282040870305
Growth 5yr Actual/Est,0.11733849448282926
Growth 3yr Historic,0.08816979923537305
