,FLT,Rating Since
newConstructs,3,2020-05-12
researchTeam,hold,2018-05-10
cfra,3,2018-05-10
theStreet,buy,2012-12-17
ford,3,2020-02-14
creditSuisse,neutral,2020-01-23
marketEdge opinion,neutralfromavoid,2020-05-08
marketEdge,3,2020-05-08
