,FLT
Price/Earnings (TTM),24.49511
Price/Sales (TTM),7.3826
Price/Book (MRQ),7.09716
Price/Cash Flow (TTM),17.38857
5yr Low,107.56
5yr High,329.85
5yr Avg Return,0.10676666666666668
EPS Growth 5yr,0.18578309999999998
Revenue Growth 5yr,0.1717078
Dividend Growth 5yr,
Short Int Current Month,2832386.0
Short Int Prev Month,2749055.0
Short Int Pct of Float,0.034468
Days to Cover,3.89019
Float,82.19579
Shares Outstanding,83.7707
Institutions Holding Shares,785.0
% Held by Institutions,0.969701
FCF Growth 5yr,0.10401427821599077
