,ADSK,Rating Since
newConstructs,4,2020-05-08
researchTeam,hold,2020-04-27
theStreet,hold,2019-03-01
cfra,4,2019-08-26
ford,3,2020-01-10
marketEdge opinion,neutralfromavoid,2020-05-01
marketEdge,2,2020-05-01
creditSuisse,outperform,2017-04-27
