,ADSK
% Below High,0.129
% Held by Institutions,0.9544
52-Wk Range,['125.38 - 211.58']
Annual Dividend $,
Annual Dividend %,
Ask,184.75
Ask Size,100.0
Ask close,184.38
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,182.25
Bid Size,100.0
Bid close,184.19
Change Since Close,0.46| |(0.25%)
Closing Price,184.29
Day Change $,0.29
Day Change %,0.0016
Day High,187.16
Day Low,183.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.96
Ex-dividend Date,No dividend
Historical Volatility,0.48700000000000004
Last (size),50.0
Last (time),4:15p ET 05/08/20
Last Trade,184.75
Market Cap,40.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",191.6
Prev Close,184.0
Shares Outstanding,219.2M
Short Interest,0.0167
Today's Open,186.0
Volume,1005490.0
Volume 10-day Avg,1499777.0
Volume Past Day,(Light)
