,ADSK
Next Earnings Announcement,2020-05-28 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.2124542124542126
Growth 1yr High Est,0.6227758007117437
Growth 1yr Consensus Est,0.4176150065829781
Growth 2yr Low Est,0.21800958356849598
Growth 2yr High Est,0.5394580757944684
Growth 2yr Consensus Est,0.37873382968148217
Growth 5yr Low Est,-0.08924082225083979
Growth 5yr High Est,-0.03630000250680615
Growth 5yr Consensus Est,-0.06277041237882297
Growth 5yr Actual/Est,-0.11852362243078185
Growth 3yr Historic,-0.3354476072607262
