,CSCO
Price/Earnings (TTM),15.01851
Price/Sales (TTM),3.4034
Price/Book (MRQ),4.93767
Price/Cash Flow (TTM),12.77731
5yr Low,22.46
5yr High,58.26
5yr Avg Return,0.07933333333333333
EPS Growth 5yr,0.1353734
Revenue Growth 5yr,0.0194327
Dividend Growth 5yr,0.1386791
Short Int Current Month,34241613.0
Short Int Prev Month,34790293.0
Short Int Pct of Float,0.008078
Days to Cover,1.48351
Float,4239.032
Shares Outstanding,4240.88
Institutions Holding Shares,3188.0
% Held by Institutions,0.7003480000000001
FCF Growth 5yr,0.05859980715484481
