,CSCO
% Above Low,0.3268
% Held by Institutions,0.7003
52-Wk Range,['32.40 - 58.26']
Annual Dividend $,1.44
Annual Dividend %,0.0348
Ask,43.19
Ask Size,6000.0
B/A Ratio,0.016666666666666666
B/A Size,100x6000
Beta,0.9
Bid,43.07
Bid Size,100.0
Closing Price,42.99
Day Change $,1.62
Day Change %,0.0392
Day High,43.02
Day Low,41.7
Dividend Pay Date,2020-04-22 00:00:00
"EPS (TTM, GAAP)",2.75
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.414
Last (size),6.0
Last (time),4:15p ET 05/08/20
Market Cap,182.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.02
Prev Close,41.37
Shares Outstanding,4.2B
Short Interest,0.008100000000000001
Today's Open,42.02
Volume,21962827.0
Volume 10-day Avg,18575676.0
Volume Past Day,(Above Average)
