,BK
% Above Low,0.3386
% Held by Institutions,0.8565999999999999
52-Wk Range,['26.40 - 51.60']
Annual Dividend $,1.24
Annual Dividend %,0.0356
Ask,35.4
Ask Size,500.0
B/A Ratio,0.6
B/A Size,300x500
Beta,1.1
Bid,35.34
Bid Size,300.0
Change Since Close,0.00| |(0.00%)
Closing Price,35.34
Day Change $,0.49
Day Change %,0.0141
Day High,35.62
Day Low,34.82
Dividend Pay Date,2020-05-11 00:00:00
"EPS (TTM, GAAP)",4.64
Ex-dividend,2020-04-27 00:00:00
Ex-dividend Date,04/27/20
Historical Volatility,0.425
Last (size),90.0
Last (time),6:30p ET 05/08/20
Last Trade,35.34
Market Cap,31.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",7.51
Prev Close,34.85
Shares Outstanding,885.4M
Short Interest,0.0083
Today's Open,35.56
Volume,4757950.0
Volume 10-day Avg,4807293.0
Volume Past Day,(Average)
