,BK
Next Earnings Announcement,2020-07-15 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.17721518987341778
Growth 1yr High Est,-0.00990099009900991
Growth 1yr Consensus Est,-0.09355808998621384
Growth 2yr Low Est,-0.08860759493670889
Growth 2yr High Est,0.007549504950495001
Growth 2yr Consensus Est,-0.040529044993106944
Growth 5yr Low Est,-0.012834591519981842
Growth 5yr High Est,0.03251770170973581
Growth 5yr Consensus Est,0.009841555094876983
Growth 5yr Actual/Est,0.01827263407971949
Growth 3yr Historic,0.035196212906895036
