,PNW
% Above Low,0.23010000000000003
% Held by Institutions,0.8515999999999999
52-Wk Range,['60.05 - 105.51']
Annual Dividend $,3.13
Annual Dividend %,0.0436
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.3
Bid,70.1
Bid Size,
Closing Price,73.87
Day Change $,2.11
Day Change %,0.0294
Day High,74.97
Day Low,72.63
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",3.68
Ex-dividend,2020-05-01 00:00:00
Ex-dividend Date,05/01/20
Historical Volatility,0.414
Last (size),300.0
Last (time),6:30p ET 05/08/20
Market Cap,8.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.1
Prev Close,71.76
Shares Outstanding,112.5M
Short Interest,0.0203
Today's Open,74.32
Volume,1268379.0
Volume 10-day Avg,1149680.0
Volume Past Day,(Above Average)
