,PNW
Price/Earnings (TTM),20.09795
Price/Sales (TTM),2.39385
Price/Book (MRQ),1.52941
Price/Cash Flow (TTM),7.56879
5yr Low,56.01
5yr High,105.51
5yr Avg Return,0.04398333333333333
EPS Growth 5yr,0.0053937
Revenue Growth 5yr,-0.0011726
Dividend Growth 5yr,0.0544555
Short Int Current Month,2268749.0
Short Int Prev Month,2416449.0
Short Int Pct of Float,0.0202568
Days to Cover,2.25391
Float,112.0099
Shares Outstanding,112.4888
Institutions Holding Shares,721.0
% Held by Institutions,0.8515659999999999
FCF Growth 5yr,-3.9098161288882936
