,SYK
Price/Earnings (TTM),33.72517
Price/Sales (TTM),4.82099
Price/Book (MRQ),5.49773
Price/Cash Flow (TTM),24.44159
5yr Low,86.68
5yr High,226.3
5yr Avg Return,0.14048333333333335
EPS Growth 5yr,0.3244541
Revenue Growth 5yr,0.089968
Dividend Growth 5yr,0.1126042
Short Int Current Month,4238340.0
Short Int Prev Month,4535804.0
Short Int Pct of Float,0.012282900000000001
Days to Cover,1.78996
Float,346.9144
Shares Outstanding,375.3785
Institutions Holding Shares,1801.0
% Held by Institutions,0.741227
FCF Growth 5yr,0.31118742235277963
