,SYK
% Below High,0.1512
% Held by Institutions,0.7412000000000001
52-Wk Range,['124.54 - 226.30']
Annual Dividend $,2.3
Annual Dividend %,0.012
Ask,192.66
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,0.9
Bid,191.51
Bid Size,300.0
Closing Price,192.08
Day Change $,-0.11
Day Change %,-0.0006
Day High,196.32
Day Low,191.43
Dividend Pay Date,2020-07-31 00:00:00
"EPS (TTM, GAAP)",5.7
Ex-dividend,2020-06-29 00:00:00
Ex-dividend Date,06/29/20
Historical Volatility,0.446
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,72.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",33.73
Prev Close,192.19
Shares Outstanding,375.4M
Short Interest,0.0123
Today's Open,194.39
Volume,1991342.0
Volume 10-day Avg,1783569.0
Volume Past Day,(Above Average)
