,STX
% Above Low,0.3086
% Held by Institutions,0.8883
52-Wk Range,['39.02 - 64.17']
Annual Dividend $,2.6
Annual Dividend %,0.053399999999999996
Ask,51.31
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,51.0
Bid Size,300.0
Closing Price,51.06
Day Change $,2.34
Day Change %,0.048
Day High,51.21
Day Low,49.35
Dividend Pay Date,2020-07-08 00:00:00
"EPS (TTM, GAAP)",6.72
Ex-dividend,2020-06-23 00:00:00
Ex-dividend Date,06/23/20
Historical Volatility,0.42200000000000004
Last (size),15.0
Last (time),3:59p ET 05/08/20
Market Cap,13.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.6
Prev Close,48.72
Shares Outstanding,256.6M
Short Interest,0.0447
Today's Open,49.57
Volume,2702622.0
Volume 10-day Avg,2629003.0
Volume Past Day,(Average)
