,STX
Price/Earnings (TTM),7.59928
Price/Sales (TTM),1.26443
Price/Book (MRQ),7.33281
Price/Cash Flow (TTM),5.86538
5yr Low,18.42
5yr High,64.17
5yr Avg Return,0.020066666666666656
EPS Growth 5yr,0.09305630000000001
Revenue Growth 5yr,-0.054139799999999995
Dividend Growth 5yr,0.0857674
Short Int Current Month,11596672.0
Short Int Prev Month,13041037.0
Short Int Pct of Float,0.0447387
Days to Cover,4.90771
Float,254.877
Shares Outstanding,256.6249
Institutions Holding Shares,886.0
% Held by Institutions,0.888314
FCF Growth 5yr,-0.04532004523758937
