,MDT
Price/Earnings (TTM),25.32598
Price/Sales (TTM),4.26875
Price/Book (MRQ),2.56056
Price/Cash Flow (TTM),16.63272
5yr Low,55.54
5yr High,122.15
5yr Avg Return,0.056716666666666665
EPS Growth 5yr,0.0249411
Revenue Growth 5yr,0.12436370000000001
Dividend Growth 5yr,0.1229551
Short Int Current Month,9560289.0
Short Int Prev Month,12453684.0
Short Int Pct of Float,0.007139100000000001
Days to Cover,1.50237
Float,1339.195
Shares Outstanding,1340.166
Institutions Holding Shares,2384.0
% Held by Institutions,0.827359
FCF Growth 5yr,0.11574047235109863
