,MDT
% Below High,0.1893
% Held by Institutions,0.8273999999999999
52-Wk Range,['72.13 - 122.15']
Annual Dividend $,2.16
Annual Dividend %,0.0218
Ask,99.5
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.7
Bid,99.04
Bid Size,100.0
Closing Price,99.03
Day Change $,0.09
Day Change %,0.0009
Day High,100.65
Day Low,98.13
Dividend Pay Date,2020-04-17 00:00:00
"EPS (TTM, GAAP)",3.91
Ex-dividend,2020-03-26 00:00:00
Ex-dividend Date,03/26/20
Historical Volatility,0.363
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,132.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",25.33
Prev Close,98.94
Shares Outstanding,1.3B
Short Interest,0.0070999999999999995
Today's Open,100.42
Volume,4278530.0
Volume 10-day Avg,4583191.0
Volume Past Day,(Average)
