,SYY
Price/Earnings (TTM),20.13025
Price/Sales (TTM),0.45463
Price/Book (MRQ),13.32187
Price/Cash Flow (TTM),12.77062
5yr Low,26.0
5yr High,85.98
5yr Avg Return,0.10361666666666666
EPS Growth 5yr,0.1541658
Revenue Growth 5yr,0.0526239
Dividend Growth 5yr,0.056421599999999995
Short Int Current Month,10624639.0
Short Int Prev Month,10402683.0
Short Int Pct of Float,0.020947300000000002
Days to Cover,2.06041
Float,506.4055
Shares Outstanding,507.618
Institutions Holding Shares,1549.0
% Held by Institutions,0.7759189999999999
FCF Growth 5yr,0.12448764423715426
