,SYY
Next Earnings Announcement,2020-08-10 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.456896551724138
Growth 1yr High Est,0.05277777777777781
Growth 1yr Consensus Est,-0.2020593869731801
Growth 2yr Low Est,-0.5591361065498996
Growth 2yr High Est,0.05409337437701556
Growth 2yr Consensus Est,-0.25252136608644205
Growth 5yr Low Est,-0.1811548566508305
Growth 5yr High Est,0.12470801948098764
Growth 5yr Consensus Est,-0.02822341858492143
Growth 5yr Actual/Est,0.025551010307272
Growth 3yr Historic,0.09917557016642692
