,HES
Price/Earnings (TTM),
Price/Sales (TTM),2.19422
Price/Book (MRQ),1.62047
Price/Cash Flow (TTM),7.58865
5yr Low,26.06
5yr High,74.81
5yr Avg Return,-0.008199999999999985
EPS Growth 5yr,
Revenue Growth 5yr,-0.0935922
Dividend Growth 5yr,0.0
Short Int Current Month,17452289.0
Short Int Prev Month,17445069.0
Short Int Pct of Float,0.0644158
Days to Cover,4.85123
Float,274.865
Shares Outstanding,307.144
Institutions Holding Shares,756.0
% Held by Institutions,0.891887
FCF Growth 5yr,0.9950946649874783
