,HES
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.11111111111111116
Growth 1yr High Est,-1.256470588235294
Growth 1yr Consensus Est,-0.5726797385620914
Growth 2yr Low Est,0.04555555555555557
Growth 2yr High Est,-1.1098866702644359
Growth 2yr Consensus Est,-0.5321655573544402
Growth 5yr Low Est,0.022777777777777786
Growth 5yr High Est,-0.5549433351322179
Growth 5yr Consensus Est,-0.2660827786772201
Growth 5yr Actual/Est,0.30329577742363106
Growth 3yr Historic,-0.13892390221023626
