,HES
% Above Low,0.8603000000000001
% Held by Institutions,0.8919
52-Wk Range,['26.06 - 74.11']
Annual Dividend $,1.0
Annual Dividend %,0.0216
Ask,49.18
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.3
Bid,48.0
Bid Size,200.0
Closing Price,48.48
Day Change $,2.08
Day Change %,0.044800000000000006
Day High,48.51
Day Low,47.11
Dividend Pay Date,2020-03-30 00:00:00
"EPS (TTM, GAAP)",-1.36
Ex-dividend,2020-03-13 00:00:00
Ex-dividend Date,03/13/20
Historical Volatility,0.723
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,14.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,46.4
Shares Outstanding,307.1M
Short Interest,0.0644
Today's Open,47.69
Volume,2087924.0
Volume 10-day Avg,3064216.0
Volume Past Day,(Light)
