,APA
Price/Earnings (TTM),
Price/Sales (TTM),0.76034
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,3.8
5yr High,69.0
5yr Avg Return,-0.18911666666666666
EPS Growth 5yr,
Revenue Growth 5yr,-0.1302879
Dividend Growth 5yr,0.0103115
Short Int Current Month,49386146.0
Short Int Prev Month,33418337.0
Short Int Pct of Float,0.1315376
Days to Cover,1.27856
Float,375.6842
Shares Outstanding,377.4178
Institutions Holding Shares,744.0
% Held by Institutions,0.9866240000000001
FCF Growth 5yr,-2.7289514839428497
