,SJM
% Below High,0.0962
% Held by Institutions,0.7905
52-Wk Range,['91.88 - 128.43']
Annual Dividend $,3.52
Annual Dividend %,0.031
Ask,116.75
Ask Size,200.0
B/A Ratio,4.5
B/A Size,900x200
Beta,0.2
Bid,113.55
Bid Size,900.0
Closing Price,116.08
Day Change $,2.55
Day Change %,0.0225
Day High,117.07
Day Low,114.8
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",5.48
Ex-dividend,2020-05-14 00:00:00
Ex-dividend Date,05/14/20
Historical Volatility,0.314
Last (size),6800.0
Last (time),6:30p ET 05/08/20
Market Cap,13.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.18
Prev Close,113.53
Shares Outstanding,114.0M
Short Interest,0.04190000000000001
Today's Open,115.07
Volume,867884.0
Volume 10-day Avg,1154799.0
Volume Past Day,(Light)
