,SJM,Rating Since
newConstructs,2,2020-05-08
researchTeam,hold,2020-04-03
marketEdge opinion,long,2020-05-08
marketEdge,-1,2020-05-08
theStreet,buy,2020-02-05
cfra,3,2017-02-18
ford,1,2020-04-17
creditSuisse,neutral,2020-04-16
