,V
Price/Earnings (TTM),33.31318
Price/Sales (TTM),16.49823
Price/Book (MRQ),13.57717
Price/Cash Flow (TTM),29.86888
5yr Low,60.0
5yr High,214.17
5yr Avg Return,0.1948
EPS Growth 5yr,0.1980132
Revenue Growth 5yr,0.1258596
Dividend Growth 5yr,0.20112439999999998
Short Int Current Month,29809216.0
Short Int Prev Month,30645638.0
Short Int Pct of Float,0.0175217
Days to Cover,2.52831
Float,1668.523
Shares Outstanding,2129.019
Institutions Holding Shares,3468.0
% Held by Institutions,0.9403579999999999
FCF Growth 5yr,0.18538526611713296
