,EXPD
Price/Earnings (TTM),22.49372
Price/Sales (TTM),1.55078
Price/Book (MRQ),6.07499
Price/Cash Flow (TTM),19.99509
5yr Low,40.41
5yr High,81.64
5yr Avg Return,0.0819
EPS Growth 5yr,0.1208897
Revenue Growth 5yr,0.044861700000000004
Dividend Growth 5yr,0.09336209999999999
Short Int Current Month,3314334.0
Short Int Prev Month,3486673.0
Short Int Pct of Float,0.0195333
Days to Cover,2.19213
Float,167.8226
Shares Outstanding,167.9888
Institutions Holding Shares,838.0
% Held by Institutions,0.9581919999999999
FCF Growth 5yr,0.09075231472500071
