,EXPD
% Below High,0.0834
% Held by Institutions,0.9581999999999999
52-Wk Range,['52.55 - 81.64']
Annual Dividend $,1.04
Annual Dividend %,0.013999999999999999
Ask,74.88
Ask Size,600.0
B/A Ratio,2.6666666666666665
B/A Size,1600x600
Beta,0.7
Bid,74.82
Bid Size,1600.0
Closing Price,74.83
Day Change $,0.45
Day Change %,0.0060999999999999995
Day High,75.56
Day Low,74.07
Dividend Pay Date,2020-06-15 00:00:00
"EPS (TTM, GAAP)",3.31
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.318
Last (size),6600.0
Last (time),3:59p ET 05/08/20
Market Cap,12.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",22.49
Prev Close,74.38
Shares Outstanding,166.2M
Short Interest,0.0195
Today's Open,74.91
Volume,1009248.0
Volume 10-day Avg,1340591.0
Volume Past Day,(Light)
