,EXPD
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.24778761061946908
Growth 1yr High Est,-0.06406685236768805
Growth 1yr Consensus Est,-0.15592723149357857
Growth 2yr Low Est,0.038851292729481124
Growth 2yr High Est,0.04385943095901318
Growth 2yr Consensus Est,0.04135536184424715
Growth 5yr Low Est,0.13006394423708098
Growth 5yr High Est,0.14127127926551478
Growth 5yr Consensus Est,0.13566761175129788
Growth 5yr Actual/Est,0.10844552715512978
Growth 3yr Historic,0.09434093437152394
