,HP
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.042857142857142705
Growth 1yr High Est,-1.47
Growth 1yr Consensus Est,-0.7564285714285713
Growth 2yr Low Est,0.9300639658848615
Growth 2yr High Est,-0.4158510638297872
Growth 2yr Consensus Est,0.25710645102753715
Growth 5yr Low Est,0.46503198294243075
Growth 5yr High Est,-0.2079255319148936
Growth 5yr Consensus Est,0.12855322551376855
Growth 5yr Actual/Est,3.289067247160907
Growth 3yr Historic,2.839794064203513
