,HP
Price/Earnings (TTM),
Price/Sales (TTM),0.6785
Price/Book (MRQ),0.50683
Price/Cash Flow (TTM),48.52395
5yr Low,12.4
5yr High,85.78
5yr Avg Return,-0.15833333333333333
EPS Growth 5yr,
Revenue Growth 5yr,-0.0551337
Dividend Growth 5yr,0.0310382
Short Int Current Month,9390469.0
Short Int Prev Month,8614859.0
Short Int Pct of Float,0.0890917
Days to Cover,3.7359
Float,104.0422
Shares Outstanding,107.4183
Institutions Holding Shares,581.0
% Held by Institutions,0.9242
FCF Growth 5yr,-0.2759639849233123
