,HP
% Above Low,0.42979999999999996
% Held by Institutions,0.9242
52-Wk Range,['12.40 - 59.68']
Annual Dividend $,2.84
Annual Dividend %,0.1739
Ask,18.0
Ask Size,10300.0
B/A Ratio,0.1262135922330097
B/A Size,1300x10300
Beta,2.1
Bid,17.82
Bid Size,1300.0
Closing Price,17.73
Day Change $,2.11
Day Change %,0.1351
Day High,17.76
Day Low,16.07
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",-4.65
Ex-dividend,2020-05-08 00:00:00
Ex-dividend Date,05/08/20
Historical Volatility,0.8640000000000001
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,1.9B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,15.62
Shares Outstanding,107.4M
Short Interest,0.0891
Today's Open,16.14
Volume,3019917.0
Volume 10-day Avg,5104526.0
Volume Past Day,(Light)
