,CAH
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.1524752475247524
Growth 1yr High Est,0.05048543689320373
Growth 1yr Consensus Est,-0.05099490531577433
Growth 2yr Low Est,-0.018994633108170622
Growth 2yr High Est,0.11489151696785882
Growth 2yr Consensus Est,0.0479484419298441
Growth 5yr Low Est,-0.021895241999291853
Growth 5yr High Est,0.04799369595924119
Growth 5yr Consensus Est,0.013049226979974668
Growth 5yr Actual/Est,0.008561158307545585
Growth 3yr Historic,-0.004518518518518533
