,CAH
% Below High,0.17809999999999998
% Held by Institutions,0.8939
52-Wk Range,['39.05 - 60.69']
Annual Dividend $,1.92
Annual Dividend %,0.0397
Ask,50.5
Ask Size,100.0
B/A Ratio,5.0
B/A Size,500x100
Beta,1.0
Bid,50.14
Bid Size,500.0
Change Since Close,0.31| |(0.62%)
Closing Price,49.88
Day Change $,1.36
Day Change %,0.027999999999999997
Day High,50.24
Day Low,48.16
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",-14.24
Ex-dividend,2020-03-31 00:00:00
Ex-dividend Date,03/31/20
Historical Volatility,0.414
Last (size),1.0
Last (time),6:30p ET 05/08/20
Last Trade,50.19
Market Cap,14.6B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",
Prev Close,48.52
Shares Outstanding,291.8M
Short Interest,0.0151
Today's Open,49.31
Volume,2768146.0
Volume 10-day Avg,2870430.0
Volume Past Day,(Average)
