,KIM
% Above Low,0.4631
% Held by Institutions,0.9240999999999999
52-Wk Range,['7.45 - 21.86']
Annual Dividend $,1.12
Annual Dividend %,0.1114
Ask,10.99
Ask Size,9800.0
B/A Ratio,0.01020408163265306
B/A Size,100x9800
Beta,1.2
Bid,10.9
Bid Size,100.0
Closing Price,10.9
Day Change $,0.85
Day Change %,0.08460000000000001
Day High,11.09
Day Low,10.16
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",0.8
Ex-dividend,2020-04-01 00:00:00
Ex-dividend Date,04/01/20
Historical Volatility,0.562
Last (size),25.0
Last (time),6:30p ET 05/08/20
Market Cap,4.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.56
Prev Close,10.05
Shares Outstanding,432.5M
Short Interest,0.0349
Today's Open,10.3
Volume,7995353.0
Volume 10-day Avg,7564507.0
Volume Past Day,(Average)
