,KIM
Next Earnings Announcement,
Growth Analysts,7.0
Growth 1yr Low Est,-0.8513513513513513
Growth 1yr High Est,-0.15116279069767447
Growth 1yr Consensus Est,-0.5012570710245129
Growth 2yr Low Est,1.437960687960688
Growth 2yr High Est,-0.04133482000637145
Growth 2yr Consensus Est,0.6983129339771583
Growth 5yr Low Est,0.8796026579531735
Growth 5yr High Est,-0.10720256437002933
Growth 5yr Consensus Est,0.38620004679157205
Growth 5yr Actual/Est,-0.04321943614106258
Growth 3yr Historic,-0.010818120351588884
