,STE
Price/Earnings (TTM),32.28019
Price/Sales (TTM),4.22482
Price/Book (MRQ),3.71607
Price/Cash Flow (TTM),21.31037
5yr Low,60.75
5yr High,168.98
5yr Avg Return,0.15555000000000002
EPS Growth 5yr,0.1042666
Revenue Growth 5yr,0.1139176
Dividend Growth 5yr,0.1015585
Short Int Current Month,1719400.0
Short Int Prev Month,1216415.0
Short Int Pct of Float,0.0204698
Days to Cover,2.17421
Float,83.81012
Shares Outstanding,84.81312
Institutions Holding Shares,771.0
% Held by Institutions,0.893913
FCF Growth 5yr,0.2217697193141932
