,STE
Next Earnings Announcement,2020-05-13 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.1386554621848739
Growth 1yr High Est,0.1708333333333334
Growth 1yr Consensus Est,0.15474439775910365
Growth 2yr Low Est,-0.010930571490588903
Growth 2yr High Est,0.14057680901542113
Growth 2yr Consensus Est,0.06482311876241612
Growth 5yr Low Est,0.061775129852785354
Growth 5yr High Est,0.13614347697147866
Growth 5yr Consensus Est,0.09895930341213201
Growth 5yr Actual/Est,0.10148393047189189
Growth 3yr Historic,0.07050916431684179
