,WLTW
Price/Earnings (TTM),24.15772
Price/Sales (TTM),2.76362
Price/Book (MRQ),2.47498
Price/Cash Flow (TTM),13.65913
5yr Low,104.11
5yr High,220.97
5yr Avg Return,0.08160000000000002
EPS Growth 5yr,0.08674849999999999
Revenue Growth 5yr,0.18910900000000003
Dividend Growth 5yr,-0.0431246
Short Int Current Month,2244694.0
Short Int Prev Month,1936494.0
Short Int Pct of Float,0.0175107
Days to Cover,2.23946
Float,128.2993
Shares Outstanding,128.7357
Institutions Holding Shares,734.0
% Held by Institutions,0.9119670000000001
FCF Growth 5yr,1.367002426701018
