,MMC
% Below High,0.1326
% Held by Institutions,0.8906000000000001
52-Wk Range,['74.34 - 119.88']
Annual Dividend $,1.82
Annual Dividend %,0.0179
Ask,119.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.9
Bid,79.03
Bid Size,200.0
Closing Price,103.98
Day Change $,2.33
Day Change %,0.0229
Day High,104.01
Day Low,101.5
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",3.48
Ex-dividend,2020-04-07 00:00:00
Ex-dividend Date,04/07/20
Historical Volatility,0.35000000000000003
Last (size),5800.0
Last (time),6:30p ET 05/08/20
Market Cap,52.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",29.17
Prev Close,101.65
Shares Outstanding,506.1M
Short Interest,0.010700000000000001
Today's Open,102.62
Volume,1559670.0
Volume 10-day Avg,2266418.0
Volume Past Day,(Light)
