,RSG
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.23241590214067287
Growth 1yr High Est,0.035502958579881616
Growth 1yr Consensus Est,-0.09845647178039563
Growth 2yr Low Est,-0.02258245306236828
Growth 2yr High Est,0.053465765004226506
Growth 2yr Consensus Est,0.015441655970929113
Growth 5yr Low Est,0.07847151815996889
Growth 5yr High Est,0.11926535003458077
Growth 5yr Consensus Est,0.09886843409727483
Growth 5yr Actual/Est,0.09235694594524263
Growth 3yr Historic,0.08812777178472969
