,RSG
% Above Low,0.2438
% Held by Institutions,0.9255
52-Wk Range,['65.37 - 100.91']
Annual Dividend $,1.62
Annual Dividend %,0.0199
Ask,93.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,77.0
Bid Size,100.0
Closing Price,81.31
Day Change $,0.1
Day Change %,0.0012
Day High,82.38
Day Low,81.09
Dividend Pay Date,2020-07-15 00:00:00
"EPS (TTM, GAAP)",3.38
Ex-dividend,2020-06-30 00:00:00
Ex-dividend Date,06/30/20
Historical Volatility,0.32799999999999996
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,25.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",24.06
Prev Close,81.21
Shares Outstanding,318.3M
Short Interest,0.009300000000000001
Today's Open,81.82
Volume,1032288.0
Volume 10-day Avg,1334215.0
Volume Past Day,(Light)
