,RSG
Price/Earnings (TTM),24.06269
Price/Sales (TTM),2.49277
Price/Book (MRQ),3.18641
Price/Cash Flow (TTM),11.95969
5yr Low,38.99
5yr High,100.91
5yr Avg Return,0.13674999999999998
EPS Growth 5yr,0.1685163
Revenue Growth 5yr,0.0322417
Dividend Growth 5yr,0.0761607
Short Int Current Month,2961511.0
Short Int Prev Month,2958135.0
Short Int Pct of Float,0.009313
Days to Cover,1.85687
Float,317.1635
Shares Outstanding,318.3122
Institutions Holding Shares,998.0
% Held by Institutions,0.9255490000000001
FCF Growth 5yr,0.10074675770029637
