,HPQ
% Above Low,0.2488
% Held by Institutions,0.8193
52-Wk Range,['12.54 - 23.93']
Annual Dividend $,0.7048
Annual Dividend %,0.0471
Ask,15.9
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,15.65
Bid Size,100.0
Closing Price,15.66
Day Change $,0.71
Day Change %,0.0475
Day High,15.74
Day Low,15.22
Dividend Pay Date,2020-04-01 00:00:00
"EPS (TTM, GAAP)",1.98
Ex-dividend,2020-03-10 00:00:00
Ex-dividend Date,03/10/20
Historical Volatility,0.501
Last (size),3.0
Last (time),6:30p ET 05/08/20
Market Cap,22.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.56
Prev Close,14.95
Shares Outstanding,1.4B
Short Interest,0.013600000000000001
Today's Open,15.22
Volume,12001062.0
Volume 10-day Avg,11695604.0
Volume Past Day,(Average)
