,HPQ
Price/Earnings (TTM),7.55508
Price/Sales (TTM),0.36436
Price/Book (MRQ),
Price/Cash Flow (TTM),5.70913
5yr Low,8.91
5yr High,35.6
5yr Avg Return,-0.034883333333333336
EPS Growth 5yr,0.056928900000000004
Revenue Growth 5yr,0.0073234
Dividend Growth 5yr,0.0095157
Short Int Current Month,19441780.0
Short Int Prev Month,17907744.0
Short Int Pct of Float,0.0136344
Days to Cover,1.25836
Float,1427.099
Shares Outstanding,1429.764
Institutions Holding Shares,1217.0
% Held by Institutions,0.8192539999999999
FCF Growth 5yr,0.04028701568281923
